DERIVED_RANGES	URAM288_X0Y0:URAM288_X3Y235, RAMB36_X0Y0:RAMB36_X11Y178, RAMB18_X0Y0:RAMB18_X11Y357, LAGUNA_X0Y0:LAGUNA_X23Y717, DSP48E2_X0Y0:DSP48E2_X18Y357, CMACE4_X0Y0:CMACE4_X0Y7, BUFG_GT_SYNC_X1Y0:BUFG_GT_SYNC_X1Y209, BUFG_GT_X1Y0:BUFG_GT_X1Y335, SLICE_X162Y0:SLICE_X168Y898, SLICE_X161Y660:SLICE_X161Y839, SLICE_X161Y360:SLICE_X161Y539, SLICE_X161Y60:SLICE_X161Y239, SLICE_X151Y0:SLICE_X160Y898, SLICE_X150Y660:SLICE_X150Y839, SLICE_X150Y360:SLICE_X150Y539, SLICE_X150Y60:SLICE_X150Y239, SLICE_X136Y0:SLICE_X149Y898, SLICE_X135Y660:SLICE_X135Y839, SLICE_X135Y360:SLICE_X135Y539, SLICE_X135Y60:SLICE_X135Y239, SLICE_X120Y0:SLICE_X134Y898, SLICE_X119Y660:SLICE_X119Y839, SLICE_X119Y360:SLICE_X119Y539, SLICE_X119Y60:SLICE_X119Y239, SLICE_X105Y0:SLICE_X118Y898, SLICE_X104Y660:SLICE_X104Y839, SLICE_X104Y360:SLICE_X104Y539, SLICE_X104Y60:SLICE_X104Y239, SLICE_X91Y0:SLICE_X103Y898, SLICE_X90Y660:SLICE_X90Y839, SLICE_X90Y360:SLICE_X90Y539, SLICE_X90Y60:SLICE_X90Y239, SLICE_X79Y0:SLICE_X89Y898, SLICE_X78Y660:SLICE_X78Y839, SLICE_X78Y360:SLICE_X78Y539, SLICE_X78Y60:SLICE_X78Y239, SLICE_X63Y0:SLICE_X77Y898, SLICE_X62Y660:SLICE_X62Y839, SLICE_X62Y360:SLICE_X62Y539, SLICE_X62Y60:SLICE_X62Y239, SLICE_X48Y0:SLICE_X61Y898, SLICE_X47Y660:SLICE_X47Y839, SLICE_X47Y360:SLICE_X47Y539, SLICE_X47Y60:SLICE_X47Y239, SLICE_X34Y0:SLICE_X46Y898, SLICE_X33Y660:SLICE_X33Y839, SLICE_X33Y360:SLICE_X33Y539, SLICE_X33Y60:SLICE_X33Y239, SLICE_X20Y0:SLICE_X32Y898, SLICE_X19Y660:SLICE_X19Y839, SLICE_X19Y360:SLICE_X19Y539, SLICE_X19Y60:SLICE_X19Y239, SLICE_X9Y0:SLICE_X18Y898, SLICE_X8Y660:SLICE_X8Y839, SLICE_X8Y360:SLICE_X8Y539, SLICE_X8Y60:SLICE_X8Y239, SLICE_X0Y0:SLICE_X7Y898

SLICEM_COLS: 1,2,4,6,8,11,13,16,17,19,21,22,24,25,27,30,31,33,35,36,38,40,42,43,45,47,50,51,53,56,59,60,62,64,66,68,70,72,74,76,78,80,81,84,87,88,90,92,93,95,97,99,100,102,104,107,108,110,113,116,117,119,121,123,125,127,129,131,133,135,137,138,141,142,144,146,148,150,152,153,156,158,161,163,165,166,168
CLOCK_REGION X0Y0 SLICE_X0Y0:SLICE_X30Y59
CLOCK_REGION X0Y1 SLICE_X0Y60:SLICE_X30Y119
CLOCK_REGION X0Y2 SLICE_X0Y120:SLICE_X30Y179
CLOCK_REGION X0Y3 SLICE_X0Y180:SLICE_X30Y239
CLOCK_REGION X0Y4 SLICE_X0Y240:SLICE_X30Y299
CLOCK_REGION X0Y5 SLICE_X0Y300:SLICE_X30Y359
CLOCK_REGION X0Y6 SLICE_X0Y360:SLICE_X30Y419
CLOCK_REGION X0Y7 SLICE_X0Y420:SLICE_X30Y479
CLOCK_REGION X0Y8 SLICE_X0Y480:SLICE_X30Y539
CLOCK_REGION X0Y9 SLICE_X0Y540:SLICE_X30Y599
CLOCK_REGION X0Y10 SLICE_X0Y600:SLICE_X30Y659
CLOCK_REGION X0Y11 SLICE_X0Y660:SLICE_X30Y719
CLOCK_REGION X0Y12 SLICE_X0Y720:SLICE_X30Y779
CLOCK_REGION X0Y13 SLICE_X0Y780:SLICE_X30Y839
CLOCK_REGION X0Y14 SLICE_X0Y840:SLICE_X30Y899
CLOCK_REGION X1Y0 SLICE_X31Y0:SLICE_X54Y59
CLOCK_REGION X1Y1 SLICE_X31Y60:SLICE_X54Y119
CLOCK_REGION X1Y2 SLICE_X31Y120:SLICE_X54Y179
CLOCK_REGION X1Y3 SLICE_X31Y180:SLICE_X54Y239
CLOCK_REGION X1Y4 SLICE_X31Y240:SLICE_X54Y299
CLOCK_REGION X1Y5 SLICE_X31Y300:SLICE_X54Y359
CLOCK_REGION X1Y6 SLICE_X31Y360:SLICE_X54Y419
CLOCK_REGION X1Y7 SLICE_X31Y420:SLICE_X54Y479
CLOCK_REGION X1Y8 SLICE_X31Y480:SLICE_X54Y539
CLOCK_REGION X1Y9 SLICE_X31Y540:SLICE_X54Y599
CLOCK_REGION X1Y10 SLICE_X31Y600:SLICE_X54Y659
CLOCK_REGION X1Y11 SLICE_X31Y660:SLICE_X54Y719
CLOCK_REGION X1Y12 SLICE_X31Y720:SLICE_X54Y779
CLOCK_REGION X1Y13 SLICE_X31Y780:SLICE_X54Y839
CLOCK_REGION X1Y14 SLICE_X31Y840:SLICE_X54Y899
CLOCK_REGION X2Y0 SLICE_X55Y0:SLICE_X87Y59
CLOCK_REGION X2Y1 SLICE_X55Y60:SLICE_X87Y119
CLOCK_REGION X2Y2 SLICE_X55Y120:SLICE_X87Y179
CLOCK_REGION X2Y3 SLICE_X55Y180:SLICE_X87Y239
CLOCK_REGION X2Y4 SLICE_X55Y240:SLICE_X87Y299
CLOCK_REGION X2Y5 SLICE_X55Y300:SLICE_X87Y359
CLOCK_REGION X2Y6 SLICE_X55Y360:SLICE_X87Y419
CLOCK_REGION X2Y7 SLICE_X55Y420:SLICE_X87Y479
CLOCK_REGION X2Y8 SLICE_X55Y480:SLICE_X87Y539
CLOCK_REGION X2Y9 SLICE_X55Y540:SLICE_X87Y599
